document_number;alert;transaction;operation
2000000286;150;1772;3
2000000287;112;1713;1
2000000288;161;1281;1
2000000289;155;1714;2
2000000290;149;1667;0
2000000291;160;1404;0
2000000292;132;1003;3
2000000293;178;1494;0
2000000294;178;1689;1
2000000295;186;1817;3
2000000296;108;1717;2
2000000297;190;1152;3
2000000298;185;1860;4
2000000299;158;1563;1
2000000300;195;1401;0
2000000301;129;1887;3
2000000302;147;1039;2
2000000303;139;1650;2
2000000304;131;1326;5
2000000305;119;1841;2
2000000306;142;1509;3
2000000307;175;1381;2
2000000308;196;1216;5
2000000309;115;1807;3
2000000310;141;1931;5
2000000311;147;1328;3
2000000312;197;1526;1
2000000313;177;1895;1
2000000314;104;1169;2
2000000315;128;1388;0
2000000316;194;1740;5
2000000317;102;1080;1
2000000318;125;1161;4
2000000319;112;1768;0
2000000320;181;1422;5
2000000321;138;1522;5
2000000322;170;1703;5
2000000323;195;1217;2
2000000324;151;1456;5
2000000325;143;1139;5
2000000326;104;1579;1
2000000327;117;1417;3
2000000328;120;1882;3
2000000329;119;1332;0
2000000330;174;1395;5
2000000331;193;1034;3
2000000332;179;1640;1
2000000333;143;1069;3
2000000334;158;1265;2
2000000335;149;1711;1
2000000336;179;1590;5
2000000337;142;1828;1
2000000338;168;1250;2
2000000339;142;1553;4
2000000340;114;1879;4
2000000341;165;1997;4
2000000342;100;1409;0
2000000343;153;1347;3
2000000344;151;1112;0
2000000345;112;1806;2
2000000346;132;1283;1
2000000347;148;1979;1
2000000348;166;1162;0
2000000349;167;1091;4
2000000350;117;1749;0
2000000351;177;1979;5
2000000352;107;1247;2
2000000353;149;1400;0
2000000354;109;1046;2
2000000355;119;1082;0
2000000356;169;1104;1
2000000357;108;1224;5
2000000358;134;1255;5
2000000359;177;1741;2
2000000360;134;1840;2
2000000361;120;1942;4
2000000362;185;1857;0
2000000363;153;1584;3
2000000364;130;1552;5
2000000365;146;1013;5
2000000366;185;1848;5
2000000367;130;1867;0
2000000368;107;1581;3
2000000369;159;1301;5
2000000370;168;1863;4
2000000371;143;1520;5
2000000372;170;1181;1
2000000373;143;1502;3
2000000374;101;1182;5
2000000375;152;1633;2
2000000376;181;1898;2
2000000377;150;1476;1
2000000378;199;1565;4
2000000379;113;1045;2
2000000380;138;1338;1
2000000381;127;1626;2
2000000382;169;1497;3
2000000383;113;1661;1
2000000384;190;1239;1
2000000385;166;1684;0
2000000386;131;1903;5
2000000387;199;1124;4
2000000388;157;1814;3
2000000389;156;1939;0
2000000390;192;1904;5
2000000391;115;1508;1
2000000392;181;1051;4
2000000393;179;1454;3
2000000394;157;1309;0
2000000395;158;1279;2
2000000396;186;1334;5
2000000397;122;1736;4
2000000398;119;1625;2
2000000399;197;1985;3
2000000400;147;1252;5
2000000401;174;1063;0
2000000402;100;1860;0
2000000403;106;1759;2
2000000404;140;1368;0
2000000405;194;1408;1
2000000406;147;1453;5
2000000407;152;1485;4
2000000408;141;1155;5
2000000409;106;1543;2
2000000410;132;1590;3
2000000411;148;1858;0
2000000412;122;1487;0
2000000413;115;1873;4
2000000414;122;1052;3
2000000415;180;1624;0
2000000416;144;1608;0
2000000417;195;1365;5
2000000418;137;1545;5
2000000419;116;1619;0
2000000420;181;1483;0
2000000421;100;1464;2
2000000422;185;1011;3
2000000423;123;1309;2
2000000424;113;1695;4
2000000425;162;1492;3
2000000426;107;1307;2
2000000427;156;1839;5
2000000428;132;1297;1
2000000429;141;1511;2
2000000430;166;1799;4
2000000431;171;1478;2
2000000432;111;1491;3
2000000433;176;1108;1
2000000434;178;1935;5
2000000435;122;1481;4
2000000436;133;1455;4
2000000437;111;1835;5
2000000438;183;1992;4
2000000439;187;1791;4
2000000440;171;1828;3
2000000441;116;1628;1
2000000442;119;1417;3
2000000443;121;1935;2
2000000444;101;1928;0
2000000445;146;1527;4
2000000446;118;1082;2
2000000447;190;1436;4
2000000448;169;1534;1
2000000449;129;1302;2
2000000450;174;1659;2
2000000451;124;1095;4
2000000452;177;1397;0
2000000453;111;1715;1
2000000454;155;1175;4
2000000455;101;1854;2
2000000456;195;1391;5
2000000457;170;1640;4
2000000458;110;1221;4
2000000459;172;1731;0
2000000460;182;1167;4
2000000461;110;1814;1
2000000462;114;1619;3
2000000463;135;1131;4
2000000464;100;1023;1
2000000465;159;1453;1
2000000466;162;1260;5
2000000467;161;1991;3
2000000468;132;1572;0
2000000469;174;1590;4
2000000470;187;1398;2
2000000471;119;1555;1
2000000472;126;1156;5
2000000473;136;1623;2
2000000474;153;1661;3
2000000475;192;1543;3
2000000476;186;1038;0
2000000477;107;1548;1
2000000478;176;1023;2
2000000479;119;1606;4
2000000480;160;1301;1
2000000481;146;1504;3
2000000482;130;1560;2
2000000483;155;1111;4
2000000484;182;1941;0
2000000485;159;1554;5
2000000486;151;1290;0
2000000487;107;1647;0
2000000488;182;1737;0
2000000489;191;1560;3
2000000490;170;1995;4
2000000491;104;1844;2
2000000492;115;1095;1
2000000493;146;1811;3
2000000494;152;1192;0
2000000495;132;1654;4
2000000496;188;1337;1
2000000497;117;1788;5
2000000498;167;1867;3
2000000499;139;1585;3
2000000500;117;1231;1
2000000501;173;1843;3
2000000502;185;1557;5
2000000503;177;1638;2
2000000504;147;1891;3
2000000505;162;1198;2
2000000506;166;1120;5
2000000507;184;1697;3
2000000508;180;1206;2
2000000509;117;1711;3
2000000510;141;1843;0
2000000511;143;1545;5
2000000512;119;1232;3
2000000513;119;1208;2
2000000514;137;1231;2
2000000515;166;1324;0
2000000516;180;1085;3
2000000517;160;1360;1
2000000518;118;1878;3
2000000519;104;1134;5
2000000520;132;1829;5
2000000521;172;1177;2
2000000522;125;1795;1
2000000523;165;1097;0
2000000524;110;1020;4
2000000525;117;1997;3
2000000526;185;1516;3
2000000527;174;1473;2
2000000528;146;1190;2
2000000529;183;1754;5
2000000530;183;1227;2
2000000531;161;1679;4
2000000532;167;1445;4
2000000533;191;1769;1
2000000534;187;1810;1
2000000535;124;1076;0
2000000536;183;1984;2
2000000537;184;1967;5
2000000538;176;1654;3
2000000539;125;1308;2
2000000540;192;1959;2
2000000541;162;1051;2
2000000542;147;1922;3
2000000543;177;1474;1
2000000544;154;1861;0
2000000545;170;1275;2
2000000546;136;1018;5
2000000547;142;1887;2
2000000548;149;1383;3
2000000549;185;1422;1
2000000550;189;1066;4
2000000551;118;1578;1
2000000552;123;1164;1
2000000553;177;1242;5
2000000554;159;1392;1
2000000555;182;1075;1
2000000556;178;1153;2
2000000557;181;1853;0
2000000558;192;1048;4
2000000559;165;1900;0
2000000560;188;1159;0
2000000561;160;1217;1
2000000562;189;1276;0
2000000563;142;1941;2
2000000564;147;1045;1
2000000565;150;1101;0
2000000566;156;1159;3
2000000567;132;1713;0
2000000568;139;1363;2
2000000569;164;1921;4
2000000570;183;1563;2
2000000571;128;1131;5
2000000572;174;1206;4
2000000573;112;1446;5
2000000574;100;1884;0
2000000575;112;1813;0
2000000576;159;1941;0
2000000577;113;1304;2
2000000578;163;1834;3
2000000579;164;1871;0
2000000580;184;1676;3
2000000581;105;1600;3
2000000582;103;1320;0
2000000583;128;1774;3
2000000584;195;1529;5
2000000585;135;1723;2
2000000586;191;1385;0
2000000587;182;1469;0
2000000588;160;1651;0
2000000589;187;1694;3
2000000590;128;1288;2
2000000591;101;1441;4
2000000592;107;1218;1
2000000593;142;1002;1
2000000594;196;1070;5
2000000595;115;1048;5
2000000596;106;1455;5
2000000597;187;1221;0
2000000598;128;1969;3
2000000599;162;1900;3
2000000600;174;1067;1
2000000601;138;1004;1
2000000602;187;1093;1
2000000603;100;1772;4
2000000604;118;1441;3
2000000605;142;1486;2
2000000606;178;1280;2
2000000607;160;1209;0
2000000608;100;1320;2
2000000609;183;1053;1
2000000610;165;1857;4
2000000611;164;1051;3
2000000612;108;1267;5
2000000613;123;1951;0
2000000614;129;1777;0
2000000615;140;1401;2
2000000616;122;1515;5
2000000617;190;1642;4
2000000618;179;1482;5
2000000619;115;1555;5
2000000620;188;1193;4
2000000621;146;1771;3
2000000622;195;1654;3
2000000623;101;1484;2
2000000624;138;1222;4
2000000625;133;1648;1
2000000626;180;1930;5
2000000627;179;1964;0
2000000628;161;1488;2
2000000629;131;1903;4
2000000630;166;1636;3
2000000631;166;1480;1
2000000632;160;1379;1
2000000633;132;1855;4
2000000634;124;1791;4
2000000635;172;1624;0
2000000636;155;1352;2
2000000637;165;1323;1
2000000638;144;1391;3
2000000639;146;1134;1
2000000640;186;1208;2
2000000641;184;1178;3
2000000642;160;1903;4
2000000643;126;1705;5
2000000644;152;1478;3
2000000645;151;1825;1
2000000646;116;1604;0
2000000647;176;1986;5
2000000648;121;1085;2
2000000649;127;1069;0
2000000650;119;1471;2
2000000651;121;1049;3
2000000652;113;1976;5
2000000653;139;1675;0
2000000654;113;1548;0
2000000655;167;1777;5
2000000656;172;1066;5
2000000657;178;1857;2
2000000658;135;1044;0
2000000659;152;1013;3
2000000660;109;1861;1
2000000661;133;1691;1
2000000662;172;1609;1
2000000663;124;1077;4
2000000664;181;1347;1
2000000665;132;1912;1
2000000666;108;1720;1
2000000667;107;1371;2
2000000668;160;1321;3
2000000669;196;1931;4
2000000670;131;1855;3
2000000671;110;1032;2
2000000672;173;1720;4
2000000673;196;1298;3
2000000674;101;1166;2
2000000675;187;1600;5
2000000676;121;1488;4
2000000677;175;1883;4
2000000678;106;1634;2
2000000679;135;1783;1
2000000680;135;1228;3
2000000681;108;1932;2
2000000682;146;1165;3
2000000683;191;1604;2
2000000684;197;1246;1
2000000685;158;1696;0
2000000686;127;1200;2
2000000687;147;1730;5
2000000688;138;1876;4
2000000689;145;1434;1
2000000690;116;1210;1
2000000691;187;1839;0
2000000692;110;1176;4
2000000693;138;1902;0
2000000694;159;1364;0
2000000695;128;1103;1
2000000696;149;1125;4
2000000697;151;1885;1
2000000698;111;1025;4
2000000699;102;1073;5
2000000700;137;1296;5
2000000701;103;1890;3
2000000702;154;1057;0
2000000703;158;1247;4
2000000704;112;1000;4
2000000705;125;1370;0
2000000706;142;1506;5
2000000707;110;1598;4
2000000708;167;1853;3
2000000709;117;1239;4
2000000710;110;1344;4
2000000711;193;1945;2
2000000712;143;1528;1
2000000713;133;1087;1
2000000714;169;1737;3
2000000715;123;1046;1
2000000716;189;1301;5
2000000717;181;1711;0
2000000718;126;1337;1
2000000719;106;1746;3
2000000720;112;1203;3
2000000721;163;1318;5
2000000722;171;1368;1
2000000723;111;1840;1
2000000724;100;1681;2
2000000725;183;1946;3
2000000726;181;1842;5
2000000727;144;1883;5
2000000728;144;1808;3
2000000729;104;1731;5
2000000730;107;1364;3
2000000731;106;1483;1
2000000732;102;1827;4
2000000733;139;1758;1
2000000734;169;1947;2
2000000735;158;1943;5
2000000736;150;1902;1
2000000737;193;1531;0
2000000738;196;1047;5
2000000739;184;1237;3
2000000740;149;1655;5
2000000741;108;1054;3
2000000742;182;1768;2
2000000743;186;1541;0
2000000744;124;1991;1
2000000745;194;1638;1
2000000746;167;1026;1
2000000747;160;1474;4
2000000748;105;1530;5
2000000749;173;1835;2
2000000750;198;1219;1
2000000751;137;1092;0
2000000752;155;1850;5
2000000753;186;1101;4
2000000754;109;1074;0
2000000755;148;1625;1
2000000756;191;1960;5
2000000757;135;1910;2
2000000758;198;1014;2
2000000759;102;1491;3
2000000760;108;1128;1
2000000761;170;1102;2
2000000762;137;1332;3
2000000763;112;1707;4
2000000764;135;1379;5
2000000765;144;1422;5
2000000766;121;1286;2
2000000767;100;1224;5
2000000768;194;1827;3
2000000769;142;1317;3
2000000770;172;1778;4
2000000771;126;1950;5
2000000772;160;1961;2
2000000773;185;1465;5
2000000774;179;1716;3
2000000775;100;1033;1
2000000776;175;1577;4
2000000777;138;1816;3
2000000778;155;1709;3
2000000779;189;1445;4
2000000780;108;1143;4
2000000781;124;1079;5
2000000782;132;1267;4
2000000783;166;1787;2
2000000784;126;1698;2
2000000785;106;1732;5
2000000786;188;1517;0
2000000787;183;1988;2
2000000788;138;1814;4
2000000789;156;1874;4
2000000790;171;1214;3
2000000791;176;1360;1
2000000792;133;1388;1
2000000793;151;1514;2
2000000794;135;1879;3
2000000795;141;1279;1
2000000796;144;1118;2
2000000797;179;1722;0
2000000798;165;1370;0
2000000799;169;1208;0
2000000800;185;1436;0
2000000801;183;1053;2
2000000802;119;1116;4
2000000803;156;1809;1
2000000804;144;1067;1
2000000805;186;1314;3
2000000806;184;1210;0
2000000807;145;1034;5
2000000808;140;1621;2
2000000809;111;1058;3
2000000810;155;1002;4
2000000811;146;1157;2
2000000812;158;1967;2
2000000813;184;1812;0
2000000814;164;1588;4
2000000815;110;1810;2
2000000816;151;1188;1
2000000817;117;1414;1
2000000818;198;1150;5
2000000819;182;1402;3
2000000820;133;1262;3
2000000821;168;1697;0
2000000822;117;1176;4
2000000823;192;1446;5
2000000824;142;1219;2
2000000825;153;1384;5
2000000826;103;1115;4
2000000827;117;1711;0
2000000828;184;1665;4
2000000829;153;1589;0
2000000830;191;1869;1
2000000831;140;1214;5
2000000832;183;1344;2
2000000833;175;1508;0
2000000834;151;1634;3
2000000835;185;1468;2
2000000836;178;1539;4
2000000837;171;1424;2
2000000838;175;1668;1
2000000839;160;1768;0
2000000840;151;1590;0
2000000841;132;1203;1
2000000842;117;1649;4
2000000843;114;1955;0
2000000844;170;1376;4
2000000845;188;1802;5
2000000846;155;1868;5
2000000847;187;1056;2
2000000848;182;1794;0
2000000849;160;1509;4
2000000850;162;1436;2
2000000851;164;1753;3
2000000852;127;1850;3
2000000853;160;1041;5
2000000854;145;1410;2
2000000855;188;1904;0
2000000856;125;1194;4
2000000857;163;1991;2
2000000858;177;1430;3
2000000859;131;1639;1
2000000860;184;1515;3
2000000861;194;1518;1
2000000862;177;1890;4
2000000863;104;1956;2
2000000864;152;1245;4
2000000865;134;1205;1
2000000866;175;1621;5
2000000867;182;1301;5
2000000868;134;1417;5
2000000869;135;1868;3
2000000870;113;1561;2
2000000871;103;1355;2
2000000872;134;1132;1
2000000873;178;1454;3
2000000874;134;1480;5
2000000875;169;1486;0
2000000876;146;1927;0
2000000877;102;1205;0
2000000878;179;1303;2
2000000879;151;1919;4
2000000880;158;1141;2
2000000881;116;1109;4
2000000882;130;1411;4
2000000883;113;1889;5
2000000884;109;1746;5
2000000885;168;1969;2
2000000886;195;1240;4
2000000887;104;1770;0
2000000888;189;1233;5
2000000889;140;1609;3
2000000890;176;1865;5
2000000891;167;1860;0
2000000892;166;1360;0
2000000893;126;1313;4
2000000894;118;1022;4
2000000895;182;1305;5
2000000896;126;1382;1
2000000897;129;1821;4
2000000898;106;1948;1
2000000899;120;1269;2
2000000900;167;1038;5
2000000901;119;1436;3
2000000902;118;1031;4
2000000903;137;1409;5
2000000904;194;1512;1
2000000905;161;1556;5
2000000906;121;1614;2
2000000907;133;1029;4
2000000908;117;1461;4
2000000909;123;1546;0
2000000910;143;1104;0
2000000911;197;1624;3
2000000912;154;1574;3
2000000913;128;1619;2
2000000914;176;1323;3
2000000915;131;1725;0
2000000916;198;1916;3
2000000917;113;1296;2
2000000918;124;1128;0
2000000919;100;1906;0
2000000920;111;1817;2
2000000921;112;1155;5
2000000922;163;1777;1
2000000923;162;1244;2
2000000924;128;1012;5
2000000925;128;1604;0
2000000926;186;1134;0
2000000927;147;1200;2
2000000928;157;1569;0
2000000929;104;1577;0
2000000930;148;1672;4
2000000931;174;1443;3
2000000932;155;1819;0
2000000933;150;1275;5
2000000934;196;1045;3
2000000935;144;1755;2
2000000936;147;1109;4
2000000937;161;1271;0
2000000938;104;1494;3
2000000939;114;1331;0
2000000940;182;1889;3
2000000941;175;1768;4
2000000942;142;1110;4
2000000943;147;1183;2
2000000944;187;1208;1
2000000945;147;1237;0
2000000946;190;1210;1
2000000947;139;1487;2
2000000948;135;1912;3
2000000949;147;1368;4
2000000950;177;1293;5
2000000951;115;1669;2
2000000952;185;1102;5
2000000953;112;1905;5
2000000954;189;1974;3
2000000955;112;1451;5
2000000956;129;1916;2
2000000957;146;1698;4
2000000958;123;1312;3
2000000959;193;1439;4
2000000960;130;1769;5
2000000961;180;1915;3
2000000962;170;1461;2
2000000963;183;1948;0
2000000964;149;1810;2
2000000965;175;1303;3
2000000966;177;1993;1
2000000967;190;1454;2
2000000968;194;1769;1
2000000969;130;1229;2
2000000970;136;1299;0
2000000971;187;1665;1
2000000972;131;1085;5
2000000973;177;1165;0
2000000974;137;1795;0
2000000975;175;1424;2
2000000976;108;1564;1
2000000977;109;1679;1
2000000978;122;1536;5
2000000979;146;1666;2
2000000980;192;1413;5
2000000981;137;1767;4
2000000982;167;1766;0
2000000983;119;1680;2
2000000984;153;1290;0
2000000985;196;1350;1
2000000986;188;1982;4
2000000987;104;1523;0
2000000988;183;1194;0
2000000989;144;1182;2
2000000990;139;1861;4
2000000991;164;1577;1
2000000992;152;1140;2
2000000993;113;1225;3
2000000994;110;1698;1
2000000995;136;1731;0
2000000996;183;1487;5
2000000997;195;1423;5
2000000998;149;1853;3
2000000999;103;1109;3
2000001000;174;1825;4
2000001001;134;1392;0
2000001002;180;1262;1
2000001003;171;1331;4
2000001004;129;1973;5
2000001005;107;1074;3
2000001006;145;1245;4
2000001007;153;1236;1
2000001008;179;1053;1
2000001009;183;1872;3
2000001010;133;1023;1
2000001011;100;1997;3
2000001012;152;1365;0
2000001013;168;1731;5
2000001014;128;1293;1
2000001015;188;1077;0
2000001016;186;1862;4
2000001017;187;1910;5
2000001018;158;1358;0
2000001019;160;1495;1
2000001020;192;1279;1
2000001021;156;1932;0
2000001022;139;1749;4
2000001023;150;1814;4
2000001024;178;1630;3
2000001025;194;1901;5
2000001026;156;1318;1
2000001027;111;1962;4
2000001028;153;1079;4
2000001029;130;1844;5
2000001030;161;1702;4
2000001031;149;1753;4
2000001032;165;1665;0
2000001033;140;1402;2
2000001034;157;1676;4
2000001035;146;1585;3
2000001036;101;1236;1
2000001037;137;1704;2
2000001038;102;1688;3
2000001039;128;1634;3
2000001040;126;1574;3
2000001041;168;1142;3
2000001042;184;1888;3
2000001043;189;1017;3
2000001044;118;1333;1
2000001045;112;1296;3
2000001046;186;1941;4
2000001047;190;1984;2
2000001048;194;1154;0
2000001049;101;1403;3
2000001050;102;1004;1
2000001051;143;1885;3
2000001052;156;1751;4
2000001053;198;1624;5
2000001054;101;1139;0
2000001055;140;1873;0
2000001056;134;1673;3
2000001057;174;1537;5
2000001058;194;1668;5
2000001059;167;1418;4
2000001060;135;1708;3
2000001061;176;1513;5
2000001062;127;1018;4
2000001063;197;1092;5
2000001064;103;1119;5
2000001065;116;1330;2
2000001066;155;1517;1
2000001067;104;1675;4
2000001068;170;1731;3
2000001069;126;1155;1
2000001070;113;1953;5
2000001071;189;1232;4
2000001072;159;1450;1
2000001073;102;1898;3
2000001074;162;1231;5
2000001075;145;1773;3
2000001076;179;1595;1
2000001077;130;1322;1
2000001078;149;1540;3
2000001079;172;1360;2
2000001080;110;1086;2
2000001081;182;1325;0
2000001082;166;1071;2
2000001083;169;1249;3
2000001084;100;1462;2
2000001085;184;1994;5
2000001086;186;1808;5
2000001087;161;1215;0
2000001088;165;1485;3
2000001089;128;1591;0
2000001090;175;1696;0
2000001091;148;1868;4
2000001092;154;1969;3
2000001093;157;1725;0
2000001094;134;1034;3
2000001095;151;1326;4
2000001096;159;1208;2
2000001097;181;1534;4
2000001098;113;1823;2
2000001099;192;1990;5
2000001100;167;1258;0
2000001101;193;1047;4
2000001102;162;1663;0
2000001103;180;1085;1
2000001104;171;1238;3
2000001105;136;1636;5
2000001106;182;1011;0
2000001107;112;1915;1
2000001108;173;1885;0
2000001109;129;1622;4
2000001110;196;1461;3
2000001111;136;1717;2
2000001112;147;1866;1
2000001113;189;1030;1
2000001114;162;1483;3
2000001115;115;1399;5
2000001116;113;1864;5
2000001117;127;1056;2
2000001118;153;1315;5
2000001119;111;1819;1
2000001120;166;1871;2
2000001121;194;1493;1
2000001122;187;1319;3
2000001123;158;1221;0
2000001124;123;1766;1
2000001125;106;1262;4
2000001126;110;1773;0
2000001127;116;1583;5
2000001128;173;1579;3
2000001129;131;1214;3
2000001130;145;1101;4
2000001131;117;1141;2
2000001132;151;1691;3
2000001133;115;1147;4
2000001134;184;1974;0
2000001135;176;1794;2
2000001136;185;1892;2
2000001137;173;1802;1
2000001138;107;1538;3
2000001139;152;1801;0
2000001140;187;1288;1
2000001141;165;1603;3
2000001142;119;1311;4
2000001143;173;1558;1
2000001144;190;1916;3
2000001145;158;1823;0
2000001146;112;1934;3
2000001147;180;1210;4
2000001148;179;1623;5
2000001149;163;1599;1
2000001150;171;1783;3
2000001151;196;1442;5
2000001152;195;1590;5
2000001153;104;1878;0
2000001154;188;1319;0
2000001155;188;1232;2
2000001156;172;1529;0
2000001157;124;1265;2
2000001158;168;1013;2
2000001159;161;1704;3
2000001160;129;1608;2
2000001161;182;1694;2
2000001162;174;1654;3
2000001163;135;1167;3
