document_number;alert;transaction;retrieve
2000000690;116;;true
2000000691;;1839;false
2000000692;110;;true
2000000693;138;;true
2000000694;;1364;false
2000000695;128;;true
2000000696;;1125;false
2000000697;;1885;false
2000000698;;1025;false
2000000699;102;;true
2000000700;;1296;false
2000000701;;1890;false
2000000702;154;;true
2000000703;158;;true
2000000704;112;;true
2000000705;;1370;false
2000000706;142;;true
2000000707;110;;true
2000000708;;1853;false
2000000709;;1239;false
2000000710;110;;true
2000000711;;1945;false
2000000712;;1528;false
2000000713;;1087;false
2000000714;;1737;false
2000000715;;1046;false
2000000716;;1301;false
2000000717;;1711;false
2000000718;126;;true
2000000719;106;;true
2000000720;112;;true
2000000721;;1318;false
2000000722;;1368;false
2000000723;;1840;false
2000000724;100;;true
2000000725;;1946;false
2000000726;;1842;false
2000000727;144;;true
2000000728;144;;true
2000000729;104;;true
2000000730;;1364;false
2000000731;106;;true
2000000732;102;;true
2000000733;;1758;false
2000000734;;1947;false
2000000735;158;;true
2000000736;150;;true
2000000737;;1531;false
2000000738;196;;true
2000000739;184;;true
2000000740;;1655;false
2000000741;108;;true
2000000742;182;;true
2000000743;186;;true
2000000744;124;;true
2000000745;194;;true
2000000746;;1026;false
2000000747;160;;true
2000000748;;1530;false
2000000749;;1835;false
2000000750;198;;true
2000000751;;1092;false
2000000752;;1850;false
2000000753;186;;true
2000000754;;1074;false
2000000755;148;;true
2000000756;;1960;false
2000000757;;1910;false
2000000758;198;;true
2000000759;102;;true
2000000760;108;;true
2000000761;170;;true
2000000762;;1332;false
2000000763;112;;true
2000000764;;1379;false
2000000765;144;;true
2000000766;;1286;false
2000000767;100;;true
2000000768;194;;true
2000000769;142;;true
2000000770;172;;true
2000000771;126;;true
2000000772;160;;true
2000000773;;1465;false
2000000774;;1716;false
2000000775;100;;true
2000000776;;1577;false
2000000777;138;;true
2000000778;;1709;false
2000000779;;1445;false
2000000780;108;;true
2000000781;124;;true
2000000782;132;;true
2000000783;166;;true
2000000784;126;;true
2000000785;106;;true
2000000786;188;;true
2000000787;;1988;false
2000000788;138;;true
2000000789;156;;true
2000000790;;1214;false
2000000791;176;;true
2000000792;;1388;false
2000000793;;1514;false
2000000794;;1879;false
2000000795;;1279;false
2000000796;144;;true
2000000797;;1722;false
2000000798;;1370;false
2000000799;;1208;false
2000000800;;1436;false
2000000801;;1053;false
2000000802;;1116;false
2000000803;156;;true
2000000804;144;;true
2000000805;186;;true
2000000806;184;;true
2000000807;;1034;false
2000000808;140;;true
2000000809;;1058;false
2000000810;;1002;false
2000000811;146;;true
2000000812;158;;true
2000000813;184;;true
2000000814;164;;true
2000000815;110;;true
2000000816;;1188;false
2000000817;;1414;false
2000000818;198;;true
2000000819;182;;true
2000000820;;1262;false
2000000821;168;;true
2000000822;;1176;false
2000000823;192;;true
2000000824;142;;true
2000000825;;1384;false
2000000826;;1115;false
2000000827;;1711;false
2000000828;184;;true
2000000829;;1589;false
2000000830;;1869;false
2000000831;140;;true
2000000832;;1344;false
2000000833;;1508;false
2000000834;;1634;false
2000000835;;1468;false
2000000836;178;;true
2000000837;;1424;false
2000000838;;1668;false
2000000839;160;;true
2000000840;;1590;false
2000000841;132;;true
2000000842;;1649;false
2000000843;114;;true
2000000844;170;;true
2000000845;188;;true
2000000846;;1868;false
2000000847;;1056;false
2000000848;182;;true
2000000849;160;;true
2000000850;162;;true
2000000851;164;;true
2000000852;;1850;false
2000000853;160;;true
2000000854;;1410;false
2000000855;188;;true
2000000856;;1194;false
2000000857;;1991;false
2000000858;;1430;false
2000000859;;1639;false
2000000860;184;;true
2000000861;194;;true
2000000862;;1890;false
2000000863;104;;true
2000000864;152;;true
2000000865;134;;true
2000000866;;1621;false
2000000867;182;;true
2000000868;134;;true
2000000869;;1868;false
2000000870;;1561;false
2000000871;;1355;false
2000000872;134;;true
2000000873;178;;true
2000000874;134;;true
2000000875;;1486;false
2000000876;146;;true
2000000877;102;;true
2000000878;;1303;false
2000000879;;1919;false
2000000880;158;;true
2000000881;116;;true
2000000882;130;;true
2000000883;;1889;false
2000000884;;1746;false
2000000885;168;;true
2000000886;;1240;false
2000000887;104;;true
2000000888;;1233;false
2000000889;140;;true
2000000890;176;;true
2000000891;;1860;false
2000000892;166;;true
2000000893;126;;true
2000000894;118;;true
2000000895;182;;true
2000000896;126;;true
2000000897;;1821;false
2000000898;106;;true
2000000899;120;;true
2000000900;;1038;false
2000000901;;1436;false
2000000902;118;;true
2000000903;;1409;false
2000000904;194;;true
2000000905;;1556;false
2000000906;;1614;false
2000000907;;1029;false
2000000908;;1461;false
2000000909;;1546;false
2000000910;;1104;false
2000000911;;1624;false
2000000912;154;;true
2000000913;128;;true
2000000914;176;;true
2000000915;;1725;false
2000000916;198;;true
2000000917;;1296;false
2000000918;124;;true
2000000919;100;;true
2000000920;;1817;false
2000000921;112;;true
2000000922;;1777;false
2000000923;162;;true
2000000924;128;;true
2000000925;128;;true
2000000926;186;;true
2000000927;;1200;false
2000000928;;1569;false
2000000929;104;;true
2000000930;148;;true
2000000931;174;;true
2000000932;;1819;false
2000000933;150;;true
2000000934;196;;true
2000000935;144;;true
2000000936;;1109;false
2000000937;;1271;false
2000000938;104;;true
2000000939;114;;true
2000000940;182;;true
2000000941;;1768;false
2000000942;142;;true
2000000943;;1183;false
2000000944;;1208;false
2000000945;;1237;false
2000000946;190;;true
2000000947;;1487;false
2000000948;;1912;false
2000000949;;1368;false
2000000950;;1293;false
2000000951;;1669;false
2000000952;;1102;false
2000000953;112;;true
2000000954;;1974;false
2000000955;112;;true
2000000956;;1916;false
2000000957;146;;true
2000000958;;1312;false
2000000959;;1439;false
2000000960;130;;true
2000000961;180;;true
2000000962;170;;true
2000000963;;1948;false
2000000964;;1810;false
2000000965;;1303;false
2000000966;;1993;false
2000000967;190;;true
2000000968;194;;true
2000000969;130;;true
2000000970;136;;true
2000000971;;1665;false
2000000972;;1085;false
2000000973;;1165;false
2000000974;;1795;false
2000000975;;1424;false
2000000976;108;;true
2000000977;;1679;false
2000000978;122;;true
2000000979;146;;true
2000000980;192;;true
2000000981;;1767;false
2000000982;;1766;false
2000000983;;1680;false
2000000984;;1290;false
2000000985;196;;true
2000000986;188;;true
2000000987;104;;true
2000000988;;1194;false
2000000989;144;;true
2000000990;;1861;false
2000000991;164;;true
2000000992;152;;true
2000000993;;1225;false
2000000994;110;;true
2000000995;136;;true
2000000996;;1487;false
2000000997;;1423;false
2000000998;;1853;false
2000000999;;1109;false
2000001000;174;;true
2000001001;134;;true
2000001002;180;;true
2000001003;;1331;false
2000001004;;1973;false
2000001005;;1074;false
2000001006;;1245;false
2000001007;;1236;false
2000001008;;1053;false
2000001009;;1872;false
2000001010;;1023;false
2000001011;100;;true
2000001012;152;;true
2000001013;168;;true
2000001014;128;;true
2000001015;188;;true
2000001016;186;;true
2000001017;;1910;false
2000001018;158;;true
2000001019;160;;true
2000001020;192;;true
2000001021;156;;true
2000001022;;1749;false
2000001023;150;;true
2000001024;178;;true
2000001025;194;;true
2000001026;156;;true
2000001027;;1962;false
2000001028;;1079;false
2000001029;130;;true
2000001030;;1702;false
2000001031;;1753;false
2000001032;;1665;false
2000001033;140;;true
2000001034;;1676;false
2000001035;146;;true
2000001036;;1236;false
2000001037;;1704;false
2000001038;102;;true
2000001039;128;;true
2000001040;126;;true
2000001041;168;;true
2000001042;184;;true
2000001043;;1017;false
2000001044;118;;true
2000001045;112;;true
2000001046;186;;true
2000001047;190;;true
2000001048;194;;true
2000001049;;1403;false
2000001050;102;;true
2000001051;;1885;false
2000001052;156;;true
2000001053;198;;true
2000001054;;1139;false
2000001055;140;;true
2000001056;134;;true
2000001057;174;;true
2000001058;194;;true
2000001059;;1418;false
2000001060;;1708;false
2000001061;176;;true
2000001062;;1018;false
2000001063;;1092;false
2000001064;;1119;false
2000001065;116;;true
2000001066;;1517;false
2000001067;104;;true
2000001068;170;;true
2000001069;126;;true
2000001070;;1953;false
2000001071;;1232;false
2000001072;;1450;false
2000001073;102;;true
2000001074;162;;true
2000001075;;1773;false
2000001076;;1595;false
2000001077;130;;true
2000001078;;1540;false
2000001079;172;;true
2000001080;110;;true
2000001081;182;;true
2000001082;166;;true
2000001083;;1249;false
2000001084;100;;true
2000001085;184;;true
2000001086;186;;true
2000001087;;1215;false
2000001088;;1485;false
2000001089;128;;true
2000001090;;1696;false
2000001091;148;;true
2000001092;154;;true
2000001093;;1725;false
2000001094;134;;true
2000001095;;1326;false
2000001096;;1208;false
2000001097;;1534;false
2000001098;;1823;false
2000001099;192;;true
2000001100;;1258;false
2000001101;;1047;false
2000001102;162;;true
2000001103;180;;true
2000001104;;1238;false
2000001105;136;;true
2000001106;182;;true
2000001107;112;;true
2000001108;;1885;false
2000001109;;1622;false
2000001110;196;;true
2000001111;136;;true
2000001112;;1866;false
2000001113;;1030;false
2000001114;162;;true
2000001115;;1399;false
2000001116;;1864;false
2000001117;;1056;false
2000001118;;1315;false
2000001119;;1819;false
2000001120;166;;true
2000001121;194;;true
2000001122;;1319;false
2000001123;158;;true
2000001124;;1766;false
2000001125;106;;true
2000001126;110;;true
2000001127;116;;true
2000001128;;1579;false
2000001129;;1214;false
2000001130;;1101;false
2000001131;;1141;false
2000001132;;1691;false
2000001133;;1147;false
2000001134;184;;true
2000001135;176;;true
2000001136;;1892;false
2000001137;;1802;false
2000001138;;1538;false
2000001139;152;;true
2000001140;;1288;false
2000001141;;1603;false
2000001142;;1311;false
2000001143;;1558;false
2000001144;190;;true
2000001145;158;;true
2000001146;112;;true
2000001147;180;;true
2000001148;;1623;false
2000001149;;1599;false
2000001150;;1783;false
2000001151;196;;true
2000001152;;1590;false
2000001153;104;;true
2000001154;188;;true
2000001155;188;;true
2000001156;172;;true
2000001157;124;;true
2000001158;168;;true
2000001159;;1704;false
2000001160;;1608;false
2000001161;182;;true
2000001162;174;;true
2000001163;;1167;false
2000001164;;1677;false
2000001165;;1363;false
2000001166;128;;true
2000001167;172;;true
2000001168;160;;true
2000001169;;1768;false
2000001170;;1969;false
2000001171;156;;true
2000001172;158;;true
2000001173;;1669;false
2000001174;;1781;false
2000001175;;1666;false
2000001176;;1959;false
2000001177;;1074;false
2000001178;;1766;false
2000001179;136;;true
2000001180;114;;true
2000001181;118;;true
2000001182;112;;true
2000001183;122;;true
2000001184;122;;true
2000001185;;1858;false
2000001186;;1969;false
2000001187;172;;true
2000001188;142;;true
2000001189;142;;true
2000001190;176;;true
2000001191;;1394;false
2000001192;172;;true
2000001193;194;;true
2000001194;;1615;false
2000001195;;1373;false
2000001196;;1538;false
2000001197;114;;true
2000001198;178;;true
2000001199;;1676;false
2000001200;166;;true
2000001201;;1138;false
2000001202;;1450;false
2000001203;;1914;false
2000001204;190;;true
2000001205;106;;true
2000001206;126;;true
2000001207;100;;true
2000001208;;1794;false
2000001209;184;;true
2000001210;;1661;false
2000001211;;1847;false
2000001212;;1408;false
2000001213;;1347;false
2000001214;174;;true
2000001215;;1335;false
2000001216;;1037;false
2000001217;142;;true
2000001218;136;;true
2000001219;;1563;false
2000001220;100;;true
2000001221;;1780;false
2000001222;;1557;false
2000001223;;1735;false
2000001224;148;;true
2000001225;138;;true
2000001226;;1397;false
2000001227;;1480;false
2000001228;;1512;false
2000001229;;1554;false
2000001230;;1042;false
2000001231;;1571;false
2000001232;192;;true
2000001233;;1555;false
2000001234;;1342;false
2000001235;;1108;false
2000001236;;1281;false
2000001237;;1935;false
2000001238;;1857;false
2000001239;;1651;false
2000001240;;1266;false
2000001241;;1259;false
2000001242;130;;true
2000001243;110;;true
2000001244;186;;true
2000001245;146;;true
2000001246;;1993;false
2000001247;110;;true
2000001248;;1166;false
2000001249;;1319;false
2000001250;;1630;false
2000001251;;1666;false
2000001252;;1512;false
2000001253;134;;true
2000001254;120;;true
2000001255;156;;true
2000001256;;1017;false
2000001257;;1810;false
2000001258;182;;true
2000001259;168;;true
2000001260;142;;true
2000001261;;1508;false
2000001262;160;;true
2000001263;194;;true
2000001264;148;;true
2000001265;;1293;false
2000001266;164;;true
2000001267;118;;true
2000001268;164;;true
2000001269;100;;true
2000001270;158;;true
2000001271;138;;true
2000001272;;1380;false
2000001273;;1520;false
2000001274;112;;true
2000001275;;1545;false
2000001276;110;;true
2000001277;;1958;false
2000001278;;1190;false
2000001279;100;;true
2000001280;100;;true
2000001281;;1300;false
2000001282;182;;true
2000001283;190;;true
2000001284;120;;true
2000001285;;1651;false
2000001286;;1912;false
2000001287;184;;true
2000001288;162;;true
2000001289;;1958;false
2000001290;;1831;false
2000001291;100;;true
2000001292;;1367;false
2000001293;;1104;false
2000001294;;1029;false
2000001295;;1026;false
2000001296;;1182;false
2000001297;152;;true
2000001298;;1839;false
2000001299;178;;true
2000001300;;1767;false
2000001301;170;;true
2000001302;134;;true
2000001303;;1990;false
2000001304;;1400;false
2000001305;192;;true
2000001306;;1031;false
2000001307;184;;true
2000001308;146;;true
2000001309;;1805;false
2000001310;;1101;false
2000001311;142;;true
2000001312;;1264;false
2000001313;;1082;false
2000001314;114;;true
2000001315;184;;true
2000001316;164;;true
2000001317;;1133;false
2000001318;114;;true
2000001319;;1614;false
2000001320;;1565;false
2000001321;198;;true
2000001322;110;;true
2000001323;;1647;false
2000001324;182;;true
2000001325;;1081;false
2000001326;180;;true
2000001327;140;;true
2000001328;;1444;false
2000001329;174;;true
